% Model,3D-1.2.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/4/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
0.5,-8,-10,0.36563018075506354
1,-8,-10,0.3657701112098457
1.5,-8,-10,0.3659399125405109
2,-8,-10,0.36613958474705954
2.5,-8,-10,0.36634098276249183
3,-8,-10,0.3664490498197778
3.5,-8,-10,0.36662916845793375
4,-8,-10,0.3668204376484523
4.5,-8,-10,0.36702285739133317
5,-8,-10,0.36723642768657666
5.5,-8,-10,0.36746114853418244
6,-8,-10,0.3676970199341505
6.5,-8,-10,0.3679440418864809
7,-8,-10,0.368202214391174
7.499999999999999,-8,-10,0.36847153744822925
8,-8,-10,0.36875201105764716
8.5,-8,-10,0.3690436352194273
9,-8,-10,0.3693464099335698
9.499999999999998,-8,-10,0.3696603352000748
10,-8,-10,0.36998541101894217
-10,-7.5,-10,0.37014639260934873
-9.5,-7.5,-10,0.3696991289823864
-9,-7.5,-10,0.3692633873290899
-8.5,-7.5,-10,0.36883916764945945
-8,-7.5,-10,0.36842646994349504
-7.5,-7.5,-10,0.36802529421119645
-7,-7.5,-10,0.3676356404525639
-6.5,-7.5,-10,0.36727933592846174
-6,-7.5,-10,0.36701204878856447
-5.5,-7.5,-10,0.36676995376676447
-5,-7.5,-10,0.36655305086306134
-4.5,-7.5,-10,0.36636134007745563
-4,-7.5,-10,0.3661948214099472
-3.5,-7.5,-10,0.36605349486053596
-3,-7.5,-10,0.36593736042922176
-2.5,-7.5,-10,0.365846418116005
-2,-7.5,-10,0.36578066792088515
-1.5,-7.5,-10,0.3657401098438628
-1,-7.5,-10,0.3657247438849376
-0.5,-7.5,-10,0.36573457004410964
0,-7.5,-10,0.3657695883213786
0.5,-7.5,-10,0.3658297987167449
1,-7.5,-10,0.3659329058974943
1.5,-7.5,-10,0.3661071428232054
2,-7.5,-10,0.36631125062479997
2.5,-7.5,-10,0.3665195249951085
3,-7.5,-10,0.36664940939621804
3.5,-7.5,-10,0.36682534906201597
4,-7.5,-10,0.3670124392801762
4.5,-7.5,-10,0.3672106800506987
5,-7.5,-10,0.3674200713735837
5.5,-7.5,-10,0.36764061324883096
6,-7.5,-10,0.3678723056764408
6.5,-7.5,-10,0.36811514865641304
7,-7.5,-10,0.3683691421887476
7.499999999999999,-7.5,-10,0.3686342862734445
8,-7.5,-10,0.3689105809105039
8.5,-7.5,-10,0.3691980260999257
9,-7.5,-10,0.36949662184170995
9.499999999999998,-7.5,-10,0.36980636813585654
10,-7.5,-10,0.3701272649823655
-10,-7,-10,0.37023822500242065
-9.5,-7,-10,0.369804752363294
-9,-7,-10,0.36938280169783344
-8.5,-7,-10,0.3689723730060387
-8,-7,-10,0.3685734662879101
-7.5,-7,-10,0.36818608154344723
-7,-7,-10,0.3678102187726504
-6.5,-7,-10,0.36744587797551975
-6,-7,-10,0.36716374356861453
-5.5,-7,-10,0.3669292702189455
-5,-7,-10,0.3667199889873739
-4.5,-7,-10,0.36653589987389945
-4,-7,-10,0.3663770028785221
